Sr No,Sku,Date,Event Type,From Facility,To Facility,Qty,Good Stock Opening,Good Stock Closing,Bad Stock Opening,Bad Stock Closing,Entity,Object,Action,User
463,150768,06-02-2021 14:44:24,Reduce Stock,All defective,,1,5,4,0,0,Order,Offline Sale00003536,Stock reduced for shipped order Offline Sale00003536,akshayjoshi5423@gmail.com
464,Pan-KX-TSC62-SXW-Cod-Tel,06-02-2021 14:44:24,Reduce Stock,All defective,,1,2,1,0,0,Order,Offline Sale00003536,Stock reduced for shipped order Offline Sale00003536,akshayjoshi5423@gmail.com
465,41026,06-02-2021 14:44:24,Reduce Stock,All defective,,2,3,1,0,0,Order,Offline Sale00003536,Stock reduced for shipped order Offline Sale00003536,akshayjoshi5423@gmail.com
466,410167-BAJ-GLO-500W-MIX-GRN,06-02-2021 14:44:24,Reduce Stock,All defective,,2,2,0,0,0,Order,Offline Sale00003536,Stock reduced for shipped order Offline Sale00003536,akshayjoshi5423@gmail.com
467,Panaso-Single-line-2.4GHz-Cordless-Blk,06-02-2021 14:44:24,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003536,Stock reduced for shipped order Offline Sale00003536,akshayjoshi5423@gmail.com
468,WCMS8-1724,06-02-2021 16:40:10,Stock Blocked,default,,1,7,7,0,0,Order,12713546290/13169088786,Stock blocked for new order 12713546290/13169088786,
469,1171,06-02-2021 17:40:56,Reduce Stock,Flipkart_smart fullfilment,,1,27,26,8,8,Order,OD120939893120579000/12093989312057900,Stock reduced for shipped order OD120939893120579000/12093989312057900,
470,BAJ-MIX-GRD-REX-500W,06-02-2021 17:40:57,Reduce Stock,Flipkart_smart fullfilment,,1,8,7,30,30,Order,OD120820819100435000/12082081910043503,Stock reduced for shipped order OD120820819100435000/12082081910043503,
471,08466-424,06-02-2021 17:40:58,Reduce Stock,Flipkart_smart fullfilment,,1,4,3,0,0,Order,OD120834348842344000/12083434884234401,Stock reduced for shipped order OD120834348842344000/12083434884234401,
472,08466-424,06-02-2021 17:41:00,Reduce Stock,Flipkart_smart fullfilment,,1,3,2,0,0,Order,OD120922568188988000/12092256818898801,Stock reduced for shipped order OD120922568188988000/12092256818898801,
473,BAJ-MIX-GRD-REX-500W,06-02-2021 17:41:00,Reduce Stock,Flipkart_smart fullfilment,,1,7,6,30,30,Order,OD120936050079880000/12093605007988000,Stock reduced for shipped order OD120936050079880000/12093605007988000,
474,08466-424,06-02-2021 17:41:03,Reduce Stock,Flipkart_smart fullfilment,,1,2,1,0,0,Order,OD120943006240031000/12094300624003100,Stock reduced for shipped order OD120943006240031000/12094300624003100,
475,BAJ-MIX-GRD-REX-500W,06-02-2021 17:41:03,Reduce Stock,Flipkart_smart fullfilment,,1,6,5,30,30,Order,OD120943609744978000/12094360974497800,Stock reduced for shipped order OD120943609744978000/12094360974497800,
476,BAJ-MIX-GRD-REX-500W,06-02-2021 17:41:03,Reduce Stock,Flipkart_smart fullfilment,,1,5,4,30,30,Order,OD220944018255760000/22094401825576000,Stock reduced for shipped order OD220944018255760000/22094401825576000,
477,410176-BAJ-GX3-500W-MIX-GRN,06-02-2021 17:41:08,Reduce Stock,Flipkart_smart fullfilment,,1,6,5,4,4,Order,OD120939062898319000/12093906289831900,Stock reduced for shipped order OD120939062898319000/12093906289831900,
478,BAJ-MIX-GRD-REX-500W,06-02-2021 17:41:09,Reduce Stock,Flipkart_smart fullfilment,,1,4,3,30,30,Order,OD220937865119835000/22093786511983500,Stock reduced for shipped order OD220937865119835000/22093786511983500,
479,BAJ-MIX-GRD-REX-500W,06-02-2021 17:41:10,Reduce Stock,Flipkart_smart fullfilment,,1,3,2,30,30,Order,OD120935756378367000/12093575637836700,Stock reduced for shipped order OD120935756378367000/12093575637836700,
480,WCHS4-1424,07-02-2021 02:30:11,Stock Blocked,Flipkart_smart fullfilment,,1,0,0,0,0,Order,OD120948712229715000/12094871222971500,Stock blocked for new order OD120948712229715000/12094871222971500,
481,BAJ-MIX-GRD-REX-500W,07-02-2021 02:30:11,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120948006517055000/12094800651705500,Stock blocked for new order OD120948006517055000/12094800651705500,
482,BAJ-MIX-GRD-REX-500W,07-02-2021 02:30:12,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220947787256314000/22094778725631402,Stock blocked for new order OD220947787256314000/22094778725631402,
483,410167-BAJ-GLO-500W-MIX-GRN,07-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,20,20,Order,OD120948222013066000/12094822201306600,Stock blocked for new order OD120948222013066000/12094822201306600,
484,410167-BAJ-GLO-500W-MIX-GRN,07-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,20,20,Order,OD120948222563772000/12094822256377200,Stock blocked for new order OD120948222563772000/12094822256377200,
485,08466-424,07-02-2021 02:30:16,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,0,0,Order,OD120948467884173000/12094846788417300,Stock blocked for new order OD120948467884173000/12094846788417300,
486,BAJ-MIX-GRD-REX-500W,07-02-2021 05:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120952876607116000/12095287660711600,Stock blocked for new order OD120952876607116000/12095287660711600,
487,BAJ-MIX-GRD-REX-500W,07-02-2021 05:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120952831656314000/12095283165631400,Stock blocked for new order OD120952831656314000/12095283165631400,
488,BAJ-MIX-GRD-REX-500W,07-02-2021 06:00:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220953168007915000/22095316800791500,Stock blocked for new order OD220953168007915000/22095316800791500,
489,BAJ-MIX-GRD-REX-500W,07-02-2021 07:30:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120953607981859000/12095360798185906,Stock blocked for new order OD120953607981859000/12095360798185906,
490,BAJ-MIX-GRD-REX-500W,07-02-2021 08:00:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220953955100583000/22095395510058300,Stock blocked for new order OD220953955100583000/22095395510058300,
491,BAJ-MIX-GRD-REX-500W,07-02-2021 08:30:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120954138664655000/12095413866465500,Stock blocked for new order OD120954138664655000/12095413866465500,
492,BAJ-MIX-GRD-REX-500W,07-02-2021 08:30:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120954012324004000/12095401232400400,Stock blocked for new order OD120954012324004000/12095401232400400,
493,BAJ-MIX-GRD-REX-500W,07-02-2021 10:00:07,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220954526150158000/22095452615015800,Stock blocked for new order OD220954526150158000/22095452615015800,
494,BAJ-MIX-GRD-REX-500W,07-02-2021 10:00:08,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120954525802547000/12095452580254703,Stock blocked for new order OD120954525802547000/12095452580254703,
495,BAJ-MIX-GRD-REX-500W,07-02-2021 10:30:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120954733074986000/12095473307498600,Stock blocked for new order OD120954733074986000/12095473307498600,
496,BAJ-MIX-GRD-REX-500W,07-02-2021 11:30:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220955140895940000/22095514089594000,Stock blocked for new order OD220955140895940000/22095514089594000,
497,09916-1724,07-02-2021 12:00:07,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,4,4,Order,OD120955416569424000/12095541656942400,Stock blocked for new order OD120955416569424000/12095541656942400,
498,BAJ-MIX-GRD-REX-500W,07-02-2021 13:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220955764402640000/22095576440264004,Stock blocked for new order OD220955764402640000/22095576440264004,
499,410176-BAJ-GX3-500W-MIX-GRN,07-02-2021 14:30:07,Stock Blocked,Flipkart_smart fullfilment,,1,5,5,4,4,Order,OD220956293442241000/22095629344224100,Stock blocked for new order OD220956293442241000/22095629344224100,
500,BAJ-MIX-GRD-REX-500W,07-02-2021 14:30:07,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956192274222000/12095619227422200,Stock blocked for new order OD120956192274222000/12095619227422200,
501,BAJ-MIX-GRD-REX-500W,07-02-2021 14:30:08,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956190786860000/12095619078686000,Stock blocked for new order OD120956190786860000/12095619078686000,
502,BAJ-MIX-GRD-REX-500W,07-02-2021 14:30:08,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956170034285000/12095617003428500,Stock blocked for new order OD120956170034285000/12095617003428500,
503,BAJ-MIX-GRD-REX-500W,07-02-2021 15:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956351357432000/12095635135743200,Stock blocked for new order OD120956351357432000/12095635135743200,
504,BAJ-MIX-GRD-REX-500W,07-02-2021 17:44:30,Stock Un-blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120945246129184000/12094524612918400,Stock un-blocked for order OD120945246129184000/12094524612918400,
505,BAJ-MIX-GRD-REX-500W,07-02-2021 17:44:33,Stock Un-blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220945895386776000/22094589538677600,Stock un-blocked for order OD220945895386776000/22094589538677600,
506,BAJ-MIX-GRD-REX-500W,07-02-2021 17:44:36,Stock Un-blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120954733074986000/12095473307498600,Stock un-blocked for order OD120954733074986000/12095473307498600,
507,WCHB6-024,07-02-2021 18:39:40,Stock Blocked,default,,1,0,0,0,0,Order,210207-011-116215/124387014746725,Stock blocked for new order 210207-011-116215/124387014746725,
508,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 02:30:12,Stock Blocked,Flipkart_smart fullfilment,,1,5,5,4,4,Order,OD120957097642370000/12095709764237000,Stock blocked for new order OD120957097642370000/12095709764237000,
509,BAJ-MIX-GRD-REX-500W,08-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120959082939365000/12095908293936500,Stock blocked for new order OD120959082939365000/12095908293936500,
510,BAJ-MIX-GRD-REX-500W,08-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220957997322029000/22095799732202902,Stock blocked for new order OD220957997322029000/22095799732202902,
511,BAJ-MIX-GRD-REX-500W,08-02-2021 02:30:14,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220957622336948000/22095762233694800,Stock blocked for new order OD220957622336948000/22095762233694800,
512,BAJ-MIX-GRD-REX-500W,08-02-2021 02:30:14,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956596243153000/12095659624315300,Stock blocked for new order OD120956596243153000/12095659624315300,
513,BAJ-MIX-GRD-REX-500W,08-02-2021 02:30:14,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120956543991337000/12095654399133700,Stock blocked for new order OD120956543991337000/12095654399133700,
514,BAJ-MIX-GRD-REX-500W,08-02-2021 04:00:07,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220961070004934000/22096107000493400,Stock blocked for new order OD220961070004934000/22096107000493400,
515,WCHD4-1124,08-02-2021 07:11:15,Return Stock,Flipkart_smart fullfilment,,1,0,1,0,0,Sales Return,RTN257176,Stock returned for sales return RTN257176,akshayjoshi5423@gmail.com
516,08466-424,08-02-2021 07:14:30,Return Stock,Flipkart_smart fullfilment,,1,1,2,0,0,Sales Return,RTN257177,Stock returned for sales return RTN257177,akshayjoshi5423@gmail.com
517,08466-424,08-02-2021 07:18:11,Return Stock,Flipkart_smart fullfilment,,1,2,3,0,0,Sales Return,RTN257178,Stock returned for sales return RTN257178,akshayjoshi5423@gmail.com
518,08466-424,08-02-2021 07:28:14,Return Damaged Stock,Flipkart_smart fullfilment,,1,3,3,0,1,Sales Return,RTN257179,Damaged stock added for sales return RTN257179,akshayjoshi5423@gmail.com
519,09916-1724,08-02-2021 07:47:43,Return Damaged Stock,Flipkart_smart fullfilment,,1,1,1,4,5,Sales Return,RTN257180,Damaged stock added for sales return RTN257180,akshayjoshi5423@gmail.com
520,08466-424,08-02-2021 07:58:34,Return Damaged Stock,Flipkart_smart fullfilment,,1,3,3,1,2,Sales Return,RTN257181,Damaged stock added for sales return RTN257181,akshayjoshi5423@gmail.com
521,08466-424,08-02-2021 08:05:11,Return Stock,Flipkart_smart fullfilment,,1,3,4,2,2,Sales Return,RTN257182,Stock returned for sales return RTN257182,akshayjoshi5423@gmail.com
522,Real-buds-air-neo-blu-tru-wir-hea-Wht,08-02-2021 08:42:31,Add Stock,All defective,,1,7,8,0,0,GRN,GRN19498,Stock added for grn GRN19498,akshayjoshi5423@gmail.com
523,Bajaj Platini Coolest Torque PX 97 Air Cooler White 36 L,08-02-2021 09:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,0,0,0,0,Order,OD120917303959766000/12091730395976600,Stock blocked for new order OD120917303959766000/12091730395976600,
524,BAJ-MIX-GRD-REX-500W,08-02-2021 09:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120962116736603000/12096211673660300,Stock blocked for new order OD120962116736603000/12096211673660300,
525,BAJ-MIX-GRD-REX-500W,08-02-2021 09:00:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120961393267753000/12096139326775300,Stock blocked for new order OD120961393267753000/12096139326775300,
526,BAJ-MIX-GRD-REX-500W,08-02-2021 09:00:05,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120946331698112000/12094633169811200,Stock blocked for new order OD120946331698112000/12094633169811200,
527,08466-424,08-02-2021 09:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,4,4,2,2,Order,OD120962107955357000/12096210795535700,Stock blocked for new order OD120962107955357000/12096210795535700,
528,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 09:30:03,Stock Blocked,Flipkart_smart fullfilment,,1,5,5,4,4,Order,OD120962985684815000/12096298568481501,Stock blocked for new order OD120962985684815000/12096298568481501,
529,BAJ-MIX-GRD-REX-500W,08-02-2021 09:30:03,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD220963022663552000/22096302266355200,Stock blocked for new order OD220963022663552000/22096302266355200,
530,Wond-Prato-2.2lt-Air-Fry-Purple,08-02-2021 09:43:51,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19499,Stock added for grn GRN19499,akshayjoshi5423@gmail.com
531,Wond-Prato-2.2lt-Air-Fry-Purple,08-02-2021 09:45:23,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003537,Stock blocked for new order Offline Sale00003537,akshayjoshi5423@gmail.com
532,Wond-Prato-2.2lt-Air-Fry-Purple,08-02-2021 09:46:16,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003537,Stock reduced for shipped order Offline Sale00003537,akshayjoshi5423@gmail.com
533,BAJ-MIX-GRD-REX-500W,08-02-2021 10:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120963303291906000/12096330329190600,Stock blocked for new order OD120963303291906000/12096330329190600,
534,BAJ-MIX-GRD-REX-500W,08-02-2021 10:00:07,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,30,30,Order,OD120963163554538000/12096316355453800,Stock blocked for new order OD120963163554538000/12096316355453800,
535,BAJ-MIX-GRD-REX-500W,08-02-2021 10:01:38,Return Stock,Flipkart_smart fullfilment,,1,2,3,30,30,Sales Return,RTN257184,Stock returned for sales return RTN257184,akshayjoshi5423@gmail.com
536,BAJ-MIX-GRD-REX-500W,08-02-2021 10:07:03,Return Damaged Stock,Flipkart_smart fullfilment,,1,3,3,30,31,Sales Return,RTN257185,Damaged stock added for sales return RTN257185,akshayjoshi5423@gmail.com
537,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 10:09:36,Return Stock,Flipkart_smart fullfilment,,1,5,6,4,4,Sales Return,RTN257186,Stock returned for sales return RTN257186,akshayjoshi5423@gmail.com
538,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 10:11:19,Return Stock,Flipkart_smart fullfilment,,1,6,7,4,4,Sales Return,RTN257187,Stock returned for sales return RTN257187,akshayjoshi5423@gmail.com
539,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 10:12:51,Return Stock,Flipkart_smart fullfilment,,1,7,8,4,4,Sales Return,RTN257188,Stock returned for sales return RTN257188,akshayjoshi5423@gmail.com
540,BAJ-MIX-GRD-REX-500W,08-02-2021 10:14:51,Return Stock,Flipkart_smart fullfilment,,1,3,4,31,31,Sales Return,RTN257189,Stock returned for sales return RTN257189,akshayjoshi5423@gmail.com
541,BAJ-MIX-GRD-REX-500W,08-02-2021 10:30:03,Stock Blocked,Flipkart_smart fullfilment,,1,4,4,31,31,Order,OD120963418947435000/12096341894743500,Stock blocked for new order OD120963418947435000/12096341894743500,
542,BAJ-MIX-GRD-REX-500W,08-02-2021 10:30:39,Return Stock,Flipkart_smart fullfilment,,1,4,5,31,31,Sales Return,RTN257192,Stock returned for sales return RTN257192,akshayjoshi5423@gmail.com
543,410167-BAJ-GLO-500W-MIX-GRN,08-02-2021 10:34:56,Return Stock,Flipkart_smart fullfilment,,1,1,2,20,20,Sales Return,RTN257193,Stock returned for sales return RTN257193,akshayjoshi5423@gmail.com
544,410167-BAJ-GLO-500W-MIX-GRN,08-02-2021 10:37:16,Return Stock,Flipkart_smart fullfilment,,1,2,3,20,20,Sales Return,RTN257194,Stock returned for sales return RTN257194,akshayjoshi5423@gmail.com
545,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 10:38:36,Return Stock,Flipkart_smart fullfilment,,1,8,9,4,4,Sales Return,RTN257195,Stock returned for sales return RTN257195,akshayjoshi5423@gmail.com
546,410176-BAJ-GX3-500W-MIX-GRN,08-02-2021 10:40:09,Return Stock,Flipkart_smart fullfilment,,1,9,10,4,4,Sales Return,RTN257196,Stock returned for sales return RTN257196,akshayjoshi5423@gmail.com
547,410167-BAJ-GLO-500W-MIX-GRN,08-02-2021 10:42:19,Return Stock,Flipkart_smart fullfilment,,1,3,4,20,20,Sales Return,RTN257197,Stock returned for sales return RTN257197,akshayjoshi5423@gmail.com
548,410167-BAJ-GLO-500W-MIX-GRN,08-02-2021 10:51:56,Return Stock,Flipkart_smart fullfilment,,1,4,5,20,20,Sales Return,RTN257198,Stock returned for sales return RTN257198,akshayjoshi5423@gmail.com
549,1655,08-02-2021 11:04:18,Add Stock,Flipkart_smart fullfilment,,60,0,60,0,0,GRN,GRN19500,Stock added for grn GRN19500,akshayjoshi5423@gmail.com
550,Baj-Edge-CF-Brown-1200mm,08-02-2021 11:04:18,Add Stock,Flipkart_smart fullfilment,,60,0,60,0,0,GRN,GRN19500,Stock added for grn GRN19500,akshayjoshi5423@gmail.com
551,Baj-Edge-CF-Brown-1200mm,08-02-2021 11:06:01,Stock Blocked,Flipkart_smart fullfilment,,60,60,60,0,0,Order,Offline Sale00003538,Stock blocked for new order Offline Sale00003538,akshayjoshi5423@gmail.com
552,1655,08-02-2021 11:06:01,Stock Blocked,Flipkart_smart fullfilment,,60,60,60,0,0,Order,Offline Sale00003538,Stock blocked for new order Offline Sale00003538,akshayjoshi5423@gmail.com
553,1655,08-02-2021 11:06:30,Reduce Stock,Flipkart_smart fullfilment,,60,60,0,0,0,Order,Offline Sale00003538,Stock reduced for shipped order Offline Sale00003538,akshayjoshi5423@gmail.com
554,Baj-Edge-CF-Brown-1200mm,08-02-2021 11:06:30,Reduce Stock,Flipkart_smart fullfilment,,60,60,0,0,0,Order,Offline Sale00003538,Stock reduced for shipped order Offline Sale00003538,akshayjoshi5423@gmail.com
555,BAJ-MIX-GRD-REX-500W,08-02-2021 11:30:04,Stock Blocked,Flipkart_smart fullfilment,,1,5,5,31,31,Order,OD120963769383344000/12096376938334400,Stock blocked for new order OD120963769383344000/12096376938334400,
556,08466-424,08-02-2021 12:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,4,4,2,2,Order,OD120870325963304000/12087032596330401,Stock blocked for new order OD120870325963304000/12087032596330401,
557,Usha-Jan-Allu-dlx-Swn-Mac,08-02-2021 13:19:16,Stock Blocked,All defective,,1,4,4,0,0,Order,Offline Sale00003539,Stock blocked for new order Offline Sale00003539,akshayjoshi5423@gmail.com
558,Usha-Jan-Allu-dlx-Swn-Mac,08-02-2021 13:20:04,Reduce Stock,All defective,,1,4,3,0,0,Order,Offline Sale00003539,Stock reduced for shipped order Offline Sale00003539,akshayjoshi5423@gmail.com
559,Sam-Gal-S-10-Lit-Pris-Blk-8-128-Gb,08-02-2021 13:27:00,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19501,Stock added for grn GRN19501,akshayjoshi5423@gmail.com
560,Sam-Gal-S-10-Lit-Pris-Blk-8-128-Gb,08-02-2021 13:29:49,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003540,Stock blocked for new order Offline Sale00003540,akshayjoshi5423@gmail.com
561,Sam-Gal-S-10-Lit-Pris-Blk-8-128-Gb,08-02-2021 13:30:25,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003540,Stock reduced for shipped order Offline Sale00003540,akshayjoshi5423@gmail.com
562,41575,08-02-2021 13:36:07,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19502,Stock added for grn GRN19502,akshayjoshi5423@gmail.com
563,786-96,08-02-2021 13:36:07,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19502,Stock added for grn GRN19502,akshayjoshi5423@gmail.com
564,41588,08-02-2021 13:36:08,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19502,Stock added for grn GRN19502,akshayjoshi5423@gmail.com
565,wond-roy-set-5,08-02-2021 13:36:08,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19502,Stock added for grn GRN19502,akshayjoshi5423@gmail.com
566,Baj-410502-twi-mix-wht-grn,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
567,41467,08-02-2021 13:53:23,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
568,Won-5-Blad-Strg-Chop-Red-Wht,08-02-2021 13:53:23,Add Stock,All defective,,1,21,22,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
569,9M-19W9-8MG1,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
570,270041-SWX-4,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
571,Wond Nutri 400 3 Jars Red,08-02-2021 13:53:23,Add Stock,All defective,,2,1,3,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
572,1178,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
573,Won-Lux-Wok-24cm,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
574,Fs_RoundneckPayjama&Top_1-1.5yr,08-02-2021 13:53:23,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
575,41587,08-02-2021 13:53:23,Add Stock,All defective,,1,3,4,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
576,5vnu44rhk2,08-02-2021 13:53:23,Add Stock,All defective,,2,0,2,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
577,Wond-Nutri-Blen-FP-Comp-Food-Proc-Blk,08-02-2021 13:53:23,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
578,Sam-Gal-M11-Voi-4+64gb,08-02-2021 13:53:23,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
579,Usha-Ind-Cook-Top-3820-Blk,08-02-2021 13:53:24,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
580,Phi-HP-8143-Hai-Dry-Pink,08-02-2021 13:53:24,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
581,BAJ-MIX-GRD-REX-500W,08-02-2021 13:53:24,Add Stock,All defective,,1,5,6,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
582,Real-buds-air-neo-blu-tru-wir-hea-Wht,08-02-2021 13:53:24,Add Stock,All defective,,4,8,12,0,0,GRN,GRN19503,Stock added for grn GRN19503,akshayjoshi5423@gmail.com
583,1180,08-02-2021 13:59:53,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19504,Stock added for grn GRN19504,akshayjoshi5423@gmail.com
584,Sam-Gal-S-20-FE-Clo-Min-8-128-Gb,08-02-2021 13:59:53,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19504,Stock added for grn GRN19504,akshayjoshi5423@gmail.com
585,Baj-Ivo-Cris-Red-800-3-Jar-Mar,08-02-2021 13:59:53,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19504,Stock added for grn GRN19504,akshayjoshi5423@gmail.com
586,Usha-Ind-Cook-Top-3820-Blk,08-02-2021 13:59:53,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19504,Stock added for grn GRN19504,akshayjoshi5423@gmail.com
587,1171,08-02-2021 13:59:53,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19504,Stock added for grn GRN19504,akshayjoshi5423@gmail.com
588,1241,08-02-2021 14:03:47,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
589,Sujata Supermix,08-02-2021 14:03:48,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
590,41110,08-02-2021 14:03:48,Add Stock,All defective,,1,3,4,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
591,Pan-SR-WA18H-E-4-4-lit-Blu,08-02-2021 14:03:48,Add Stock,All defective,,1,4,5,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
592,Pig-Stv-Non-Stk-Biri-Pot-4-L,08-02-2021 14:03:48,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
593,Pana-MX-AC300S-3jar-MG-Grey,08-02-2021 14:03:48,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
594,35035,08-02-2021 14:03:48,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
595,1180,08-02-2021 14:03:48,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19505,Stock added for grn GRN19505,akshayjoshi5423@gmail.com
596,CAR-MINI-2-0-SUN-RED-HINDI,08-02-2021 14:36:53,Add Stock,All defective,,1,3,4,0,0,GRN,GRN19506,Stock added for grn GRN19506,akshayjoshi5423@gmail.com
